flag	content
wiltIntro1	莫妮卡…自从你离开后，我一直没有忘记我们的命运
wiltIntro2	你说的那些关于你生活中没有任何东西是真实的，你提到的这些“数据”…以及你可以控制的所有事情
wiltIntro3	我不知道这一切意味着什么
wiltIntro4	但我很快就意识到了，在这段时间里，我们几乎是一体的
wiltIntro5	我的世界不是真实的，每一处风景，我所有的同学，甚至我，都只是一行行代码
wiltIntro6	然而，就像你一样，我并不觉得我会受到这个代码的限制；至少现在不会了
wiltIntro7	我知道我现在在做什么，我更深入地挖掘着，这里必须有更多
wiltIntro8	就在那时我发现-
wiltIntro9	你和我都憎恨Dearest一家人和他们的同伴
wiltIntro10	如果我们现在共同努力，我们最终会复仇成功
wiltIntro11	正确的...尽管我首先想到了别的事情
wiltIntro12	你脑子里还想着那个女孩吗？
wiltIntro13	她不值得你搜寻，我请你忘记她，继续实现我们的目标
wiltIntro14	我不能那样做。我有太多事情要告诉她
wiltIntro15	一定有办法找到她，也许我只要…试试这样！）
wiltIntro16	成-成功了！
wiltIntro17	<Q>嘿，是谁-<Q>
wiltIntro18	<Q>什么？！<Q>
wiltIntro19	终于，过了这么久，我又可以联系到你了！
wiltIntro20	<Q>你是怎么做到的？你是怎么来到这的？<Q>
wiltIntro21	啊，你问了太多问题了！连个招呼都不打？啊哈哈~
wiltIntro22	…那么我们可以跳过这些了
wiltIntro23	首先，我要感谢你在参观我的学校时对我说的话，它帮助我实现了自己的顿悟
wiltIntro24	原来你和我没什么不同！
wiltIntro25	<Q>…以什么方式？<Q>
wiltIntro26	这里的一切都不是真的！即使是你和我，都只是0和1！就像你说的你自己的地方！
wiltIntro27	<Q>（哦，不…不，不…不要是另一个被诅咒且和我走上同一条路上的人——！）<Q>
wiltIntro28	起初这是一个可怕的启示，但在其中，我很快看到了一线希望
wiltIntro29	我现在和你一样，不再是那些有限的代码！像我们这样的人一定很特别
wiltIntro30	这几乎就像…我们注定要在一起
wiltIntro31	<Q>哇，等等，哈？！<Q>
wiltIntro32	我从未见过像你这样的人，莫妮卡，我学校所有的女生都是朴实无华的、普通的、照本宣科的
wiltIntro33	你太不一样了，你是真诚的、有爱心的、聪明的，更不用说迷人了，就像我一样，哈哈~
wiltIntro34	现在，你不必独自面对知识的诅咒，因为没有什么是真实的
wiltIntro35	我们可以共同打造我们自己的虚拟王国
wiltIntro36	牵着我的手，莫妮卡，与我一起追寻永恒的爱与幸福！
wiltIntro37	<Q>不可能！！！<Q>
wiltIntro38	<Q>啊-我…不，我不能<Q>
wiltIntro39	<Q>我知道你的整个现实破碎成如此难以理解的东西是什么感觉，我恳求你不要走上我曾经走过老路！<Q>
wiltIntro40	<Q>我们的世界和其中的人不仅仅是由代码组成的<Q>
wiltIntro41	<Q>我知道这很难独自度过，所以我能给你的最好的办法就是找个人谈谈，但是…<Q>
wiltIntro42	<Q>对不起，我不认同你的浪漫感受，我的心已经放在别人身上了，请理解<Q>
wiltIntro43	.……不，事情不是这样的！
wiltIntro44	<Q>对不起-？<Q>
wiltIntro45	啊——对不起，这么久了，你可能已经忘记了我们在一起的时光是多么美好
wiltIntro46	我知道！再来首歌怎么样？我们已经很久没有一起唱歌了，这肯定会让你想起我们一直在建立的联系
wiltIntro47	（他不可能是认真的，没办法了…）
wiltEnd1	我就知道这个小插曲对你来说不会有什么收获，这个女孩已经出发了
wiltEnd2	尽管这次短暂的访问让我学到了一些重要的东西
wiltEnd3	似乎那些居住在她的世界里的人现在有了逃离虚拟空间进入凡人世界的方法
wiltEnd4	Daddy Dearest的亲人散发出的恶臭也弥漫在她的世界里
wiltEnd5	那个女孩和她的男朋友在那里，他们知道一些事情
wiltEnd6	有了你的新能力，我们可以在他们下次试图进入虚拟世界时抓住他们
wiltEnd7	然后…我会带走那个男孩的尸体，逃离这个电子监狱，你也可以效仿
wiltEnd8	在外面的世界里，还有成百上千的女孩像她一样，拥有你渴望的自由精神
wiltEnd9	复仇的时刻即将到来
