flag	content
unlockSecret	秘密！我们不会告诉你如何解锁这个
unlockSoft	你的电脑中需要有FNF: Soft模组的存档文件或在镜像模式下穿着学园祭服装完成：这很难说(纱世里混音版)
unlockCow	你的电脑中需要有DDLC原作或DDLC Plus的存档，或者在全员穿着日常服的情况下完成：我们的谐律
unlockHoloFunk	在画廊中找到并点击某张图片
unlockTBD	在Doki Doki Takeover中完成每首歌至少一次
unlockFestival_SA	在保持准确率为90%以上的情况下完成：这很难说(纱世里混音版)
unlockFestival_NA	在保持准确率为90%以上的情况下完成：贝多芬病毒(夏树混音版)
unlockFestival_YU	在保持准确率为90%以上的情况下完成：钉刑(优里混音版)
unlockFestival_MO	在保持准确率为90%以上的情况下完成：故障者(莫妮卡混音版)
unlockFriends_SA	在保持准确率为90%以上的情况下完成：抑制
unlockFriends_NA	你的电脑中需要有一个Vs Sunday模组的存档文件或者是在镜像模式下完成曲目：笨蛋
unlockFriends_YU	你的电脑中需要有一个Vs Tabi模组的存档文件或者是在镜像模式下完成曲目：痴迷
unlockFriends_MO	在镜像模式下完成曲目：凋零
unlockHank	在画廊中找到并点击某张图片
unlockSleepWear	去体验DDTO Bad Ending或是在镜像模式下完成曲目：兜风
unlockHotline	你的电脑中需要有一个Hotline 024模组的存档文件或者是在镜像模式下完成曲目：“深呼吸”和“诗歌与荆棘”
unlockPicnic_YU	在曲目“你和我”中选择优里
unlockPicnic_SA	在曲目“你和我”中选择纱世里
unlockSkater	在曲目“你和我”中选择夏树
unlockDerby	在曲目“猫女互斗”中选择优里
unlockVigilante	在曲目“你和我”中选择莫妮卡
unlockNeo	在保持准确率为90%以上的情况下完成：这杯我请
unlockValentine	游玩另一个版本的“顿悟”曲目
unlockBlueSkies_BF	在保持准确率为90%以上的情况下完成：你的灭亡
unlockBlueSkies_GF	在镜像模式下完成曲目：爱与放克
unlockBlueSkies_SA	在镜像模式下完成曲目：我的坦白
unlockBlueSkies_NA	在曲目“猫女互斗”中选择夏树
unlockBlueSkies_YU	在镜像模式下完成曲目：羞怯之人
unlockBlueSkies_MO	在镜像模式下完成曲目：和解
unlockBlueSkies_PR	在曲目“你和我”中不选择任何一位部员而失败
