flag	content
crucIntro1	<Q>所以，你们两个一定是莫妮卡和其他女孩一直提到的其他成员<Q>
crucIntro2	<Q>他们似乎很了解你，尽管我以前从未在社团里见过你们两个<Q>
crucIntro3	<Q>嗯，我想不久前我才加入文学部，一定是那时候错过了和你见面的机会<Q>
crucIntro4	<Q>我很高兴你今天来了，你的整个歌唱活动给文学部带来了很大的启发<Q>
crucIntro5	<Q>为了今天夜里的学校音乐节，他们决定将现场演唱作为文学部的特别活动<Q>
crucIntro6	<Q>我不确定唱歌和文学有什么关系，但每个人似乎都同意，我不能为此而感到沮丧<Q>
crucIntro7	<Q>已经有一段时间没有看到纱世里这么开心了<Q>
crucIntro8	<Q>我几乎没有像我之前一样费力地叫醒她上学，她就在外面，带着幸福的微笑等着我，哼着幸福的曲调<Q>
crucIntro9	<Q>但如果你们没有出现，我就只能和他们一起唱歌了。我还没有准备好在同龄人面前那样为难自己<Q>
crucIntro10	<Q>此外，他们中没有一个人能想出一首他们想二重唱的歌.<Q>
crucIntro11	<Q>你觉得你们能帮他们吗？<Q>
crucIntro12	*愉快的动作*
crucIntro13	<Q>Beep!<Q>
crucIntro14	<Q>一整张歌单？这应该能给他们所有人一个很好的选择<Q>
crucIntro15	<Q>一旦他们回来准备我会让他们知道的<Q>
crucIntro16	<Q>今夜学园祭见<Q>
crucIntro17	<Q>音频设备已经全部设置好，准备好了我们就可以开始了<Q>
crucIntro18	<Q>非常感谢你给我们的帮助！<Q>
crucIntro19	<Q>看到你负责管理所有的音乐技术真是有趣<Q>
crucIntro20	<Q>是啊，你就像我们的MC一样！<Q>
crucIntro21	  (不只是在音乐方面的MC呢，啊哈哈-)
crucIntro22	（等等...这个双关语笑话翻译成其他语言的话不知道还能不能被Get到）
crucIntro23	<Q>哦，你要先来吗，优里？<Q>
crucIntro24	<Q>嗯...<Q>
crucIntro25	<Q>我发现自己特别沉浸在我选择的歌曲的故事中<Q>
crucIntro26	<Q>这是一首关于两个年轻恋人的歌，他们漫步在热闹小镇的阴凉处，与一个怪物面对面<Q>
crucIntro27	<Q>一个准备将上帝的意志强加给他们的人<Q>
crucIntro28	<Q>通过用一把锯齿<Q>
