flag	content
neetIntro1	<Q>啊，还好我在一个好时机抓住了你们，我从其他人那里听说，今天之后你将离开文学部一段时间<Q>
neetIntro2	<Q>除了在学园祭，我们没怎么见面，所以以防万一，我想说个再见<Q>
neetIntro3	<Q>我也一直想问你一些事情，具体地说，一些建议<Q>
neetIntro4	<Q>Bee boop?<Q>
neetIntro5	<Q>我没想到会在文学部度过如此愉快的时光，写诗，帮助举办这些特别活动，了解所有其他文学部成员，这绝对是我所需要的<Q>
neetIntro6	<Q>否则，正如纱世里所说，我的余生都会被困在房间里，成为一名“家里蹲”<Q>
neetIntro7	<Q>加入文学部也带来了不错的东西<Q>
neetIntro8	<Q>我相信你已经注意到了，但是这个文学部-<Q>
neetIntro9	<Q>-全是超级可爱的女孩子<Q>
neetIntro10	<Q>你已经给自己找了一个女朋友，所以我想要问一下，你是否有什么建议可以给像我这样追求浪漫的人？<Q>
neetIntro11	<Q>De skeet.<Q>
neetIntro12	<Q>...唱？这似乎是你对每一个生活问题的回应<Q>
neetIntro13	<Q>女孩子并不是那么简单，另外，我之前已经告诉过你，我不会让自己在他们面前唱歌时感到尴尬<Q>
neetIntro14	*凝视*
neetIntro15	<Q>不要<Q>
neetIntro16	<Q>停下<Q>
neetIntro17	*强烈而牢不可破的眼神交流*
neetIntro18	<Q>...啊啊啊-!<Q>
neetIntro19	<Q>很-很好！我要试试唱歌<Q>
neetIntro20	（我不敢相信我竟然是如此的饥不择食-）
neetIntro21	（尽管如果这最终像我加入文学部的结果一样，这最后可能会有用）
neetIntro22	<Q>你至少能给我一些建议吗？<Q>
neetIntro23	*欢呼*
neetIntro24	<Q>Skee yeah!<Q>
neetEnd1	<Q>哇，那比我想象的有趣多了，我想我没有搞砸<Q>
neetEnd2	<Q>你唱的太棒了！<Q>
neetEnd3	<Q>嘿，谢谢你纱世-<Q>
neetEnd4	<Q>-等等...<Q>
neetEnd5	<Q>你真的坚持了我们这么久，嗯？这么久了，我们一直在努力让你加入我们！<Q>
neetEnd6	<Q>你们在这里多久了？！<Q>
neetEnd7	<Q>哈哈哈！我们在这里已经有一段时间了，我真不敢相信你这么投入竟然没有注意到<Q>
neetEnd8	<Q>啊-!<Q>
neetEnd9	<Q>你唱歌的声音和你读诗的声音一样自然自信<Q>
neetEnd10	<Q>Skep de bop, bedeep?~<Q>
neetEnd11	（翻译）哥们，我刚刚跟你说了什么？
neetEnd12	（这根本不可能奏效，对吧…？）
