flag	content
confIntro1	<Q>看见了吗？这一点也不难！事实上这很有趣！<Q>
confIntro2	<Q>...嗯...<Q>
confIntro3	<Q>嗯，我做得好吗？<Q>
confIntro4	*愉快的动作*
confIntro5	<Q>Beep!<Q>
confIntro6	<Q>哇，我很高兴你们两个在这里玩得很开心！<Q>
confIntro7	<Q>我有责任确保每个部员脸上时刻都挂着灿烂幸福的笑容<Q>
confIntro8	<Q>毕竟-<Q>
confIntro9	<Q>我可是文学部的部长啊<Q>
confEnd1	那是一场多么美妙的演出啊！我就知道你能力非凡
confEnd2	今天是我第一次在陌生人面前唱歌
confEnd3	我很高兴所有的练习都得到了回报
confEnd4	我也很喜欢这首歌，它是从哪里来的？
confEnd5	哦！我…是我写了那首歌
confEnd6	这是我花了很多精力的结果，它是为一个对我有重大意义的人准备的
confEnd7	但可惜，发生了很多不幸的事，我失去了给他们唱这首歌的机会...
confEnd8	我仍然不知道我现在在哪里，所以我不知道我是否还能和他们分享...
confEnd9	-尽管我也不知道他们是否想听
confEnd10	啊，你发现自己陷入了这样一个悲惨的故事
confEnd11	我可以保证，这个地方不会发生这样的悲剧
confEnd12	每当你心里有一首歌需要唱的时候，我都会在你身边！
confEnd13	（这家伙怎么突然变得那么轻浮——尤其是在他早些时候对我和那个孩子大发雷霆之后……）
confEnd14	（好吧，如果我没有来到这里，那我去的地方应该是回收站…）
confEnd15	（我希望其他人都没事）
confEnd16	（夏树、优里、纱世里…）
confEnd17	（那些事情发生后，我认为恢复他们的角色文件并离开对文学部和我爱的人来说是最好的结果…）
confEnd18	你怎么了？有什么事吗？
confEnd19	啊——我很好。我不知道那是什么-
