flag	content
descDefault_BF	标准校服,那些出现在文学部的人神秘地得到了一件可以穿的衣服
descRegular_BF	BF的一贯风格，穿着舒适又时髦
descMinus_BF	BF来自另一个宇宙，他只是他家乡的三个变种BF之一
descSutazu	她是谁？为什么她总是出现在随机的地方？！
descSoft	本杰明不知道自己是怎么来到这里的，但他希望这些女学生看起来足够善良
descCow	他与Bird先生合作，他总是在那里为纱世里提供一些急需的拥抱能量，哦，他现在有自我意识了
descBlueSky_BF	教师Sakurai的衣服，还有什么比向女友讲述20世纪历史上的暴行更好的方法来向她求爱呢？
descHoloFunk_BF	作为舞台上的后起之秀，Aloe不知道自己是怎么走到这里的，但有她亲密的Genmate Nene在她身边，她可以做任何事情
descDefault_GF	标准校服，GF即使在上学脑袋也依旧空空
descRegular_GF	GF最喜欢的红色连衣裙，她妈妈传给她的
descMinusGF	来自另一个宇宙的GF，总是准备好用她浓重的伦敦口音袭击你的耳朵
descSoftPico	本杰明去了哪里，Pico就跟在后面保护他的安全
descTBD	团队的待定吉祥物！她很高兴你一直玩到最后，团队的其他成员也是如此，非常感谢
descSayoGF	这个贴图太可爱了，但不会让你在所有地方使用它
descBlueSky_GF	主人公妈妈的服装，如果你的女朋友很有风格的话，她穿成别人的妈妈并不奇怪，对吧？
descHoloFunk_GF	这已经不是Nene第一次参加诡异的高中游戏了，她希望这次能少犯错误
descDefault_MO	标准校服，但莫妮卡的有一些不同
descCasual_MO	莫妮卡的休闲装，毛衣确实是休闲舒适的巅峰（优里也同意）
descValentine_MO	白色夏装，虽然从未在DDLC原作游戏中出现过，但莫妮卡在几张宣传画中都穿着这套服装
descNeo_MO	来自另一个宇宙的莫妮卡，在这个未来主义的霓虹灯世界里，莫妮卡是一个温文尔雅但狡猾的人工智能，致力于寻找她的创造者
descFestival_MO	Hex的制服，莫妮卡的运动技能也可以使她成为像Hex一样的顶级篮球明星
descFriends_MO	先辈的制服，莫妮卡甚至可能比先辈穿得更好
descBlueSky_MO	莫妮卡在Bule Skies模组的冬季服装，缺乏路线并没有阻止文学部部长缺乏风格
descVigilante	来自Doki Doki Vigilante的莫妮卡盗贼装备，是时候醒来了，起床了，然后离开那里！
descDefault_SA	标准校服，纱世里已经长大了一点，所以这件夹克并不合身
descCasual_SA	纱世里的休闲装，简单，可爱，非常舒适
descPicnic_SA	纱世里可爱的夏装，非常适合与朋友分享零食时穿着
descFestival_SA	格蕾丝的服装，纱世里很容易认同格蕾丝在歌曲中表达的情感
descFriends_SA	灵感源自Zipper的连帽衫。这比穿一件直筒夹克要好得多
descBlueSky_SA	纱世里在Bule Skies模组的冬季服装，舒适的运动鞋？简单的装束？检查一下，甚至还没完全塞进去？是的，那是纱世里没错了
descSleepWear	纱世里的睡衣。她只有在“不幸”的情况下才会穿这个
descDefault_NA	标准校服，夏树的是他们能提供的最小尺寸
descCasual_NA	夏树的休闲装，她忘了带麦克风，所以她拿出了那把可靠的旧发刷
descSkater_NA	夏树的溜冰服，既时尚又适合运动时穿着！
descFestival_NA	Kapi的服装，考虑到夏树对猫的喜爱，这是一个十分自然的选择
descFriends_NA	Sunday的服装，Sunday对夏树能够在激烈的比赛中与他们匹敌留下了深刻的印象
descHank	汉克的装备，万一你觉得夏树有耐心处理你的事
descBlueSky_NA	夏树在Bule Skies模组的万圣节服装，名叫“Natspoki”让她非常恼火
descBuff_NA	勇敢面对，说
descDefault_YU	标准校服，优里的是他们提供的最大尺寸
descCasual_YU	优里的休闲装，非常适合放松时穿着读一整天书
descDerby_YU	优里的溜冰装备，她学会了在运动时保持非常好的平衡
descPicnic_YU	优里的夏装，你总是可以指望靠优里的时尚感来赞美她的个性
descFestival_YU	Taki的教堂长袍，电锯不包括在内
descFriends_YU	Tabi的服装，优里和Tabi因喜爱刀具而结下了不解之缘
descBlueSky_YU	优里在Bule Skies模组的冬季服装,优里真的很喜欢穿黑色衣服
descDefault_PR	标准校服,对于一个同样标准的人
descCasual_PR	主人公的休闲装，这里有很多解释，因为你在DDLC原作游戏中只能看到这套衣服的上半部分和背面
descHotline	Rude 1的服装，莫妮卡和优里在与一位时髦的太空女士发生奇怪的遭遇后，建议他们去看看
descBlueSky_PR	主人公的冬装，如果你能带优里在Bule Skies模组看一场激动人心的烟花表演，你会发现主人公穿着这套衣服
