flag	content
yamEnd1	文学部给予每个人的积极态度继续在部员之间培育出令人叹为观止的友谊之花
yamEnd2	即使在部室外，人们也几乎从未见过这群人分开
yamEnd3	文学部接下来什么时候会绽放什么的只是时间问题
yamEnd4	但就目前而言，等待他们的是愉快的正常日子
yamEnd5	-或者他们是这么想的
yamEnd6	<Q>Skee yeah!<Q>
yamEnd7	BF和GF似乎是凭空出现的，他们向这群人伸出手，希望他们跟着
yamEnd8	One by one, the group followed the two into the white light, and what they would see next...
yamEnd9	<Q>我们…在哪？<Q>
yamEnd10	<Q>哇！我以前从未来过这座城市！<Q>
yamEnd11	<Q>哦，天哪，多么美丽的灯光秀啊<Q>
yamEnd12	<Q>时间怎么这么快就到了？一分钟前还不是白天吗？<Q>
yamEnd13	<Q>我也可以发誓我们刚才也都穿的是制服-<Q>
yamEnd14	*激动的欢呼*
yamEnd15	BF和GF迅速转向莫妮卡，脸上露出非常兴奋的笑容
yamEnd16	<Q>Dee boop de skee!<Q>
yamEnd17	<Q>等等...<Q>
yamEnd18	<Q>这是...我们...<Q>
yamEnd19	他们真的做到了，他们成功离开了游戏
yamEnd20	BF指着附近的一台电脑，用他能理解的哔哔声和嘘声告诉莫妮卡，这是他们进出的大门
yamEnd21	每当她和其他人想来这时，这就是他们的门票
yamEnd22	莫妮卡很快就激动得哽咽起来，她很快就说不出话来了，此时她无法用任何言语来形容自己此刻幸福的心情
yamEnd23	<Q>我…我不知道该说什么-<Q>
yamEnd24	<Q>谢谢你…非常感谢你…感谢你所做的一切<Q>
yamEnd25	一个新的世界出现了，供文学部探索，一种疯狂的可能性，在某个地方有一个对莫妮卡非常重要的人
yamEnd26	<Q>我知道你在那，我有很多事情要告诉你……我有很多事要道歉……还有-<Q>
yamEnd27	<Q>N既然我有这个机会…也许你会给我一个机会去-<Q>
yamEnd28	<Q>-去学会在你的现实中爱着你<Q>
