flag	content
consIntro1	<Q>啊，纱世里！优里！夏树！你们回来了！<Q>
consIntro2	<Q>你们在BF和GF的家乡玩得怎么样？<Q>
consIntro3	（啊哈，我还是不敢相信那是他们的真名。甚至在他们的角色文件上也这么说-）
consIntro4	<Q>我和一个摇滚明星进行了一场激烈的比赛！我也完全打败了他们<Q>
consIntro5	<Q>他们邀请我下周回来复赛，如果我赢了，我可以免费获得他们乐队下一场演出的门票！<Q>
consIntro6	<Q>这周我有很多多余的钱要花，所以我在离城市不远的一家很好的餐厅吃了饭<Q>
consIntro7	<Q>当我在那里的时候，我和一个对收藏有着相似兴趣的人聊得很愉快<Q>
consIntro8	<Q>当我在一次谈话中提到我们的两位新成员时，他似乎也很感兴趣，不过我不想说太多<Q>
consIntro9	（现实世界中似乎有很多奇怪、幻想的人）
consIntro10	（在那里的某个地方，我的真爱……我仍然没有忘记他）
consIntro11	（我很快就会回去继续搜索，我有……太多事情要告诉他了）
consIntro12	<Q>啊——对不起，我刚才陷入了沉思，你呢，纱世里？你在旅途中遇到新朋友了吗？<Q>
consIntro13	<Q>太神奇了！我甚至不知道这些地方都存在！<Q>
consIntro14	<Q>他们好像不知是从哪里冒出来的，嗯~<Q>
consIntro15	<Q>事实上，我确实遇到了一个新朋友！我们走的时候他一直跟着我<Q>
consIntro16	<Q>呃？那是...有点奇怪<Q>
consIntro17	<Q>-但我很高兴你们都找到了一些很棒的新朋友！<Q>
consIntro18	<Q>嗯！他也跟着我回来了！想见见他吗？他太可爱了！<Q>
consIntro19	<Q>哦当然！把他们带进来！<Q>
consIntro20	<Q>"嗨，Zipper！<Q>
consIntro21	<Q>SKREEEEEEEEEEE!!!!<Q>
consEnd1	<Q>把那东西送回原来的地方或者来帮帮我-！<Q>
consEnd2	<Q>Gwarrgh.<Q>
